Index,Component,Part Number,Source,Quantity,Unit Price (USD),Total Price (USD),Notes
1,Cherry MX Mechanical Keyswitch,MX2A-HC1B,meckeys.com,4 (pack of 10),5,20,
2,Keycaps Set,MX Compatible Keycaps,meckeys.com,1,25.00,25.00,For 40 keys
3,Signal Diode,1N4148TR,https://makerbazar.in/y,4,0.015,0.6,
4,Raspberry Pi Pico,SC0917,https://makerbazar.in/,1,5.00,5.00,
5,Slide Potentiometer 10K,PTL60-15R0-103B2,https://makerbazar.in/,3,1.1,3.3,
6,PCB Fabrication,JLCPCB,JLCPCB,1,26,26,
7,PCB Shipping,JLCPCB Shipping,JLCPCB,1,22.51,22.51,
8,M3 Screws,M3x16mm,Existing,4,0,0,Already owned
9,M3 Heat-set Inserts,M3 Heatset,Existing,4,0,0,Already owned
10,Total,,,,,$86.91,
